idCommune;nomCommune;Annee;nbMaison;nbAppart;prixMoyen;prixM2Moyen;surfaceMoy;depCulturellesTotales;budgetTotal;population;departement;gare
22001;ALLINEUC;2018;3;0;80966.7;650.333;123.333;-1.0;-1.0;-1;22;null;
22001;ALLINEUC;2019;8;0;62237.5;733.375;81.875;-1.0;-1.0;-1;22;null;
22001;ALLINEUC;2020;7;0;148857.0;1378.14;113.429;-1.0;-1.0;-1;22;null;
22001;ALLINEUC;2021;4;0;112343.0;1082.5;104.0;-1.0;-1.0;-1;22;null;
22002;ANDEL;2018;15;0;162488.0;1856.6;96.5333;-1.0;-1.0;-1;22;null;
22002;ANDEL;2019;11;0;176805.0;1611.64;109.182;-1.0;-1.0;-1;22;null;
22002;ANDEL;2020;11;0;156954.0;1623.0;105.455;-1.0;-1.0;-1;22;null;
22002;ANDEL;2021;18;0;246855.0;2103.89;122.0;-1.0;-1.0;-1;22;null;
22003;AUCALEUC;2018;10;0;203500.0;1742.0;115.2;-1.0;-1.0;-1;22;null;
22003;AUCALEUC;2019;11;0;157089.0;1757.27;88.4545;-1.0;-1.0;-1;22;null;
22003;AUCALEUC;2020;8;0;156536.0;1449.0;110.75;-1.0;-1.0;-1;22;null;
22003;AUCALEUC;2021;13;0;226519.0;2033.15;114.231;-1.0;-1.0;-1;22;null;
22004;BEGARD;2018;70;1;105038.0;1185.46;92.8028;-1.0;-1.0;-1;22;null;
22004;BEGARD;2019;71;0;105919.0;1312.37;84.0;827.0;4800.0;4808;22;null;
22004;BEGARD;2020;81;3;122746.0;1301.13;93.5952;886.0;0.0;4900;22;null;
22004;BEGARD;2021;102;6;129208.0;1399.1;96.4444;-1.0;-1.0;-1;22;null;
22005;BELLE-ISLE-EN-TERRE;2018;20;0;88159.0;840.25;100.5;-1.0;-1.0;-1;22;null;
22005;BELLE-ISLE-EN-TERRE;2019;15;0;80994.8;968.2;86.4667;-1.0;-1.0;-1;22;null;
22005;BELLE-ISLE-EN-TERRE;2020;19;1;91775.0;1081.2;93.3;-1.0;-1.0;-1;22;null;
22005;BELLE-ISLE-EN-TERRE;2021;29;0;91662.1;1038.55;90.3793;-1.0;-1.0;-1;22;null;
22006;BERHET;2018;4;0;103625.0;960.25;106.75;-1.0;-1.0;-1;22;null;
22006;BERHET;2019;3;0;78166.7;864.667;84.0;-1.0;-1.0;-1;22;null;
22006;BERHET;2020;4;0;119500.0;1305.25;92.25;-1.0;-1.0;-1;22;null;
22006;BERHET;2021;8;0;121799.0;1160.38;103.625;-1.0;-1.0;-1;22;null;
22008;BOBITAL;2018;11;0;197006.0;1630.27;118.091;-1.0;-1.0;-1;22;null;
22008;BOBITAL;2019;18;0;214640.0;1890.28;111.111;-1.0;-1.0;-1;22;null;
22008;BOBITAL;2020;14;0;187849.0;1956.14;98.8571;-1.0;-1.0;-1;22;null;
22008;BOBITAL;2021;22;1;176621.0;1744.0;97.6957;-1.0;-1.0;-1;22;null;
22009;LE BODEO;2018;3;0;60000.0;743.333;87.3333;-1.0;-1.0;-1;22;null;
22009;LE BODEO;2019;4;0;101250.0;1096.75;88.75;-1.0;-1.0;-1;22;null;
22009;LE BODEO;2020;4;0;106888.0;1185.0;87.0;-1.0;-1.0;-1;22;null;
22009;LE BODEO;2021;5;0;66550.0;890.6;69.0;-1.0;-1.0;-1;22;null;
22011;BOQUEHO;2018;7;0;163657.0;1212.71;120.0;-1.0;-1.0;-1;22;null;
22011;BOQUEHO;2019;17;0;124953.0;1307.29;95.4118;-1.0;-1.0;-1;22;null;
22011;BOQUEHO;2020;9;0;129722.0;1219.67;100.667;-1.0;-1.0;-1;22;null;
22011;BOQUEHO;2021;14;0;175066.0;1549.14;118.071;-1.0;-1.0;-1;22;null;
22012;LA BOUILLIE;2018;13;0;167456.0;1646.77;105.538;-1.0;-1.0;-1;22;null;
22012;LA BOUILLIE;2019;9;0;136450.0;1198.0;116.222;-1.0;-1.0;-1;22;null;
22012;LA BOUILLIE;2020;13;0;135654.0;1420.46;104.385;-1.0;-1.0;-1;22;null;
22012;LA BOUILLIE;2021;9;0;189222.0;1980.78;97.7778;-1.0;-1.0;-1;22;null;
22013;BOURBRIAC;2018;22;0;81585.3;866.455;93.1818;-1.0;-1.0;-1;22;Gare [codeGare=87473512, nomGare=MOUSTERU, estFret=false, estVoyageur=truecommune22013];
22013;BOURBRIAC;2019;19;1;102758.0;1176.3;89.75;-1.0;-1.0;-1;22;Gare [codeGare=87473512, nomGare=MOUSTERU, estFret=false, estVoyageur=truecommune22013];
22013;BOURBRIAC;2020;32;1;90528.2;1137.48;84.4545;-1.0;-1.0;-1;22;Gare [codeGare=87473512, nomGare=MOUSTERU, estFret=false, estVoyageur=truecommune22013];
22013;BOURBRIAC;2021;40;3;103094.0;1196.4;86.907;-1.0;-1.0;-1;22;Gare [codeGare=87473512, nomGare=MOUSTERU, estFret=false, estVoyageur=truecommune22013];
22014;BOURSEUL;2018;17;0;138471.0;1323.06;106.941;-1.0;-1.0;-1;22;null;
22014;BOURSEUL;2019;15;0;138982.0;1317.47;106.533;-1.0;-1.0;-1;22;null;
22014;BOURSEUL;2020;15;0;144700.0;1411.53;111.2;-1.0;-1.0;-1;22;null;
22014;BOURSEUL;2021;17;0;180265.0;1598.88;117.0;-1.0;-1.0;-1;22;null;
22015;BREHAND;2018;12;0;175233.0;1714.0;102.833;-1.0;-1.0;-1;22;null;
22015;BREHAND;2019;16;0;147279.0;1404.12;108.188;-1.0;-1.0;-1;22;null;
22015;BREHAND;2020;23;0;145081.0;1451.17;102.348;-1.0;-1.0;-1;22;null;
22015;BREHAND;2021;28;0;142967.0;1510.68;95.6071;-1.0;-1.0;-1;22;null;
22016;ILE-DE-BREHAT;2018;7;1;288075.0;4014.75;75.375;-1.0;-1.0;-1;22;null;
22016;ILE-DE-BREHAT;2019;11;1;488950.0;4356.33;103.417;-1.0;-1.0;-1;22;null;
22016;ILE-DE-BREHAT;2020;11;1;398469.0;3411.67;119.25;-1.0;-1.0;-1;22;null;
22016;ILE-DE-BREHAT;2021;14;1;502136.0;5424.33;96.9333;-1.0;-1.0;-1;22;null;
22018;BRELIDY;2018;11;0;101705.0;1106.36;97.0909;-1.0;-1.0;-1;22;null;
22018;BRELIDY;2019;8;0;140944.0;1405.12;100.875;-1.0;-1.0;-1;22;null;
22018;BRELIDY;2020;4;0;116874.0;1183.25;97.75;-1.0;-1.0;-1;22;null;
22018;BRELIDY;2021;9;0;110761.0;1387.78;83.4444;-1.0;-1.0;-1;22;null;
22019;BRINGOLO;2018;7;0;150356.0;1078.71;132.286;-1.0;-1.0;-1;22;null;
22019;BRINGOLO;2019;6;0;136303.0;1180.33;107.667;-1.0;-1.0;-1;22;null;
22019;BRINGOLO;2020;7;0;151043.0;1436.57;106.857;-1.0;-1.0;-1;22;null;
22019;BRINGOLO;2021;9;0;172217.0;1253.22;135.444;-1.0;-1.0;-1;22;null;
22020;BROONS;2018;21;1;96101.7;1143.23;90.4091;-1.0;-1.0;-1;22;Gare [codeGare=87473074, nomGare=BROONS, estFret=false, estVoyageur=truecommune22020];
22020;BROONS;2019;36;3;111129.0;1251.03;96.0769;-1.0;-1.0;-1;22;Gare [codeGare=87473074, nomGare=BROONS, estFret=false, estVoyageur=truecommune22020];
22020;BROONS;2020;39;1;124743.0;1152.9;112.075;-1.0;-1.0;-1;22;Gare [codeGare=87473074, nomGare=BROONS, estFret=false, estVoyageur=truecommune22020];
22020;BROONS;2021;36;1;117153.0;1177.22;99.4595;-1.0;-1.0;-1;22;Gare [codeGare=87473074, nomGare=BROONS, estFret=false, estVoyageur=truecommune22020];
22021;BRUSVILY;2018;16;0;125948.0;1423.0;88.3125;-1.0;-1.0;-1;22;null;
22021;BRUSVILY;2019;18;0;141333.0;1497.78;96.1111;-1.0;-1.0;-1;22;null;
22021;BRUSVILY;2020;27;0;153243.0;1586.15;98.2593;-1.0;-1.0;-1;22;null;
22021;BRUSVILY;2021;22;0;165170.0;1583.45;106.045;-1.0;-1.0;-1;22;null;
22023;BULAT-PESTIVIEN;2018;12;0;54542.5;578.75;95.4167;-1.0;-1.0;-1;22;null;
22023;BULAT-PESTIVIEN;2019;14;0;99250.0;1130.93;85.9286;-1.0;-1.0;-1;22;null;
22023;BULAT-PESTIVIEN;2020;11;0;58054.5;843.182;71.8182;-1.0;-1.0;-1;22;null;
22023;BULAT-PESTIVIEN;2021;7;0;109954.0;1107.29;105.0;-1.0;-1.0;-1;22;null;
22024;CALANHEL;2018;4;0;64450.0;760.0;91.75;-1.0;-1.0;-1;22;null;
22024;CALANHEL;2019;3;0;62666.7;630.333;95.3333;-1.0;-1.0;-1;22;null;
22024;CALANHEL;2020;3;0;66666.7;904.0;75.3333;-1.0;-1.0;-1;22;null;
22024;CALANHEL;2021;3;0;79666.7;1010.67;76.0;-1.0;-1.0;-1;22;null;
22025;CALLAC;2018;32;0;67776.3;807.594;87.4375;-1.0;-1.0;-1;22;Gare [codeGare=87473546, nomGare=CALLAC, estFret=false, estVoyageur=truecommune22025];
22025;CALLAC;2019;38;1;92354.2;957.641;99.5128;-1.0;-1.0;-1;22;Gare [codeGare=87473546, nomGare=CALLAC, estFret=false, estVoyageur=truecommune22025];
22025;CALLAC;2020;52;0;79236.0;858.942;95.4038;-1.0;-1.0;-1;22;Gare [codeGare=87473546, nomGare=CALLAC, estFret=false, estVoyageur=truecommune22025];
22025;CALLAC;2021;70;0;92076.8;1029.13;91.1286;-1.0;-1.0;-1;22;Gare [codeGare=87473546, nomGare=CALLAC, estFret=false, estVoyageur=truecommune22025];
22026;CALORGUEN;2018;8;0;128850.0;1427.5;90.75;-1.0;-1.0;-1;22;null;
22026;CALORGUEN;2019;5;0;157340.0;1479.8;105.8;-1.0;-1.0;-1;22;null;
22026;CALORGUEN;2020;8;0;173899.0;1570.75;114.0;-1.0;-1.0;-1;22;null;
22026;CALORGUEN;2021;17;0;159470.0;1695.0;92.5294;-1.0;-1.0;-1;22;null;
22027;LE CAMBOUT;2018;1;0;130000.0;828.0;157.0;-1.0;-1.0;-1;22;null;
22027;LE CAMBOUT;2019;7;0;64514.3;953.571;65.1429;-1.0;-1.0;-1;22;null;
22027;LE CAMBOUT;2020;9;0;64589.4;750.0;93.7778;-1.0;-1.0;-1;22;null;
22027;LE CAMBOUT;2021;10;0;80100.0;894.5;90.4;-1.0;-1.0;-1;22;null;
22028;CAMLEZ;2018;12;0;173402.0;1435.75;126.417;-1.0;-1.0;-1;22;null;
